affiliation,institute,address
"School of Biomolecular Science and Engineering (BSE), Vidyasirimedhi Institute of Science and Technology, Rayong 21210, Thailand",Vidyasirimedhi Institute of Science and Technology,"555 Tambon Pa Yup Nai, Amphoe Wang Chan, Chang Wat Rayong 21210, Thailand"
"Synchrotron Light Research Institute, Nakhon Ratchasima 30000, Thailand",Synchrotron Light Research Institute,"111, ถนน มหาวิทยาลัย ตำบลสุรนารี อำเภอเมือง Chang Wat Nakhon Ratchasima 30000, Thailand"
"Department of Biochemistry, Chulalongkorn University, Bangkok 10330, Thailand",Chulalongkorn University,"254 Phaya Thai Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand"
"Department of Chemistry, Mahidol University, Bangkok 10400, Thailand",Mahidol University,"Department of Chemistry, Faculty of Science, Mahidol University 272 Thanon Rama VI, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand"
"Biomaterial Research Laboratory, Department of Material Science and Engineering, College of Chemistry and Materials, Jinan University, Guangzhou 510632, PR China",Jinan University,"601 Huang Pu Da Dao Xi, Tian He Qu, Guang Zhou Shi, Guang Dong Sheng, China, 510632"
"Department of Cell Biology and Institute of Biomedicine, College of Life Science and Technology, Guangzhou 510632, PR China",Department of Cell Biology and Institute of Biomedicine,"582W+9H7, Zhu Jiang Dong Lu, Tian He Qu, Guang Zhou Shi, Guang Dong Sheng, China, 510641"
"Lukasiewicz Research Network-Lodz Institute of Technology, Marii Curie-Sklodowskiej 19/27, 90-570 Lodz, Poland",Lukasiewicz Research Network-Lodz Institute of Technology,"Marii Skłodowskiej-Curie 19/27, 90-570 Łódź, Poland"
"Department of Biochemistry and Biophysics, School of Basic Medical Sciences, Peking University, Beijing, China",Peking University,"202 Cheng Fu Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
"Department of Biochemistry and Biophysics, School of Basic Medical Sciences, Peking University, Beijing, China yunch@hscpkueducn",Peking University,"202 Cheng Fu Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
"Department of Biochemistry and Biophysics, School of Basic Medical Sciences, Peking University, Beijing, China lbai@pkueducn",Peking University,"X8Q4+XRV, Jing Yuan Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
"Department of Biomedical Engineering, Indian Institute of Technology Hyderabad, Kandi 502285, India",Indian Institute of Technology Hyderabad,"IITH Road, Near NH-65, Sangareddy, Kandi, Telangana 502285, India"
"National Institute of Pharmaceutical Education and Research (NIPER), Ahmedabad 382355, India",National Institute of Pharmaceutical Education and Research (NIPER),"Opposite Air force Station, Palaj, Gandhinagar, Gujarat 382355, India"
"Center for Biomedical Research, Population Council, New York, NY 10065, USA",Unparsed,"1230 York Ave, New York, NY 10065, USA"
"Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education (MAHE)",Manipal Institute of Technology,"Architecture Building, MIT Inside Rd, Eshwar Nagar, Manipal, Karnataka 576104, India"
"Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education (MAHE); rituraval@manipaledu",Manipal Institute of Technology,"Architecture Building, MIT Inside Rd, Eshwar Nagar, Manipal, Karnataka 576104, India"
"Department of Biotechnology, Manipal Institute of Technology, Manipal Academy of Higher Education (MAHE); subbalaxmis@manipaledu",Manipal Institute of Technology,"Architecture Building, MIT Inside Rd, Eshwar Nagar, Manipal, Karnataka 576104, India"
"Research Institute of Applied Biology, Shanxi University, Taiyuan, Shanxi 030006, China",Shanxi University,"China, Tai Yuan Shi, Xiao Dian Qu, Shanxi RoadRH5C+V2P 邮政编码: 030006"
"Department of Entomology, Kansas State University, Manhattan, KS 66506, USA",Kansas State University,"116 Ackert Hall, Manhattan, KS 66506, USA"
"Research Institute of Applied Biology, Shanxi University, Taiyuan, Shanxi 030006, China Electronic address: zjz@sxueducn",Shanxi University,"China, Tai Yuan Shi, Xiao Dian Qu, Shanxi RoadRH5C+V2P 邮政编码: 030006"
"Department of Entomology, Kansas State University, Manhattan, KS 66506, USA Electronic address: kzhu@ksuedu",Kansas State University,"Manhattan, KS 66502, USA"
"Department of Microbiology and Immunology, Indiana University School of Medicine-Terre Haute, Terre Haute, IN, United States",Indiana University School of Medicine-Terre Haute,"620 Chestnut St, Terre Haute, IN 47809, USA"
"Applied Surface Science Laboratory, Montana Technological University; Department of Metallurgy and Materials Science, Montana Technological University",Montana Technological University; Department of Metallurgy and Materials Science,"1300 W Park St, Butte, MT 59701, USA"
"Applied Surface Science Laboratory, Montana Technological University; Department of Chemistry and Geochemistry, Montana Technological University",Montana Technological University; Department of Chemistry and Geochemistry,"Chemistry Building, 32 Campus Dr, Missoula, MT 59812, USA"
"Applied Surface Science Laboratory, Montana Technological University; Department of Environmental Engineering, Montana Technological University",Montana Technological University; Department of Environmental Engineering,"54 N Last Chance Gulch Suite 14, Helena, MT 59601, USA"
"Department of Chemistry and Geochemistry, Montana Technological University",Montana Technological University.,"Butte, MT 59701, USA"
"Applied Surface Science Laboratory, Montana Technological University; Department of Mechanical Engineering, Montana Technological University; dprieto@mtechedu",Montana Technological University; Department of Mechanical Engineering,"1300 W Park St, Butte, MT 59701, USA"
"USDA, Agricultural Research Service, National Center for Agricultural Utilization Research, Mycotoxin Prevention and Applied Microbiology Research Unit, N University St, Peoria, IL, United States",N. University St.,"1815 N University St, Peoria, IL 61604, USA"
"Department of Biology, Indiana State University, Terre Haute, Indiana, United States of America",Indiana State University,"1001 E 3rd St, Bloomington, IN 47405, USA"
"Department of Microbiology and Immunology, Indiana University School of Medicine-Terre Haute, Terre Haute, Indiana, United States of America",Indiana University School of Medicine-Terre Haute,"620 Chestnut St, Terre Haute, IN 47809, USA"
"Department of Cancer and Inflammation Research, Department of Molecular Medicine, University of Southern Denmark, Odense, Denmark",University of Southern Denmark,"Campusvej 55, 5230 Odense M, Denmark"
"Department of Molecular Biology and Genetics, Aarhus University, Aarhus, Denmark",Aarhus University,"Nørrebrogade 44, 8000 Aarhus, Denmark"
"Department of Immunology, University of Tübingen, Tübingen, Germany",University of Tübingen,"Eberhard Karls University of Tübingen, Auf d. Morgenstelle 15/3.008, 72076 Tübingen, Germany"
"Danish Institute for Advanced Study, University of Southern Denmark, Odense, Denmark",University of Southern Denmark,"Fioniavej 34, 5230 Odense, Denmark"
"Science and Research Branch, Islamic Azad University, Tehran, Iran",Islamic Azad University,"استان تهران تهران ایران، تهران بزرگ، حصارک، بلوار دانشگاه،، Ferdos Blvd, Iran"
"Food Science and Technology, Science and Research Branch, Islamic Azad University, Tehran, Iran",Islamic Azad University,"Tehran Province, Tehran, District 5, N Iran Zamin St, Q85C+56P, Iran"
"Biotechnology Department, Pasteur Institute of Iran, Tehran, Iran",Pasteur Institute of Iran,"P93X+M4C, Tehran, Tehran Province, Iran"
"Department of Entomology & Plant Pathology, Auburn University, Auburn, AL 36849, USA",Auburn University,"Auburn, AL 36849, USA"
"Institute of Natural Products Chemistry, Vietnam Academy of Science and Technology, Hanoi, Vietnam nguyenthu1712@gmailcom",Institute of Natural Products Chemistry,"Ring Rd, Irvine, CA 92617, USA"
"Institute of Natural Products Chemistry, Vietnam Academy of Science and Technology, Hanoi, Vietnam",Institute of Natural Products Chemistry,"2 Phạm Ngũ Lão, Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam"
"The Australian Wine Research Institute, Hartley Grove, Urrbrae, Adelaide, SA 5064, Australia kerenbindon@awricomau",The Australian Wine Research Institute,"Hartley Grove, Urrbrae SA 5064, Australia"
"The Australian Wine Research Institute, Hartley Grove, Urrbrae, Adelaide, SA 5064, Australia stellakassara@awricomau",The Australian Wine Research Institute,"Hartley Grove, Urrbrae SA 5064, Australia"
"The Australian Wine Research Institute, Hartley Grove, Urrbrae, Adelaide, SA 5064, Australia marksolomon@awricomau",The Australian Wine Research Institute,"Hartley Grove, Urrbrae SA 5064, Australia"
"The Australian Wine Research Institute, Hartley Grove, Urrbrae, Adelaide, SA 5064, Australia carolinebartel@awricomau",The Australian Wine Research Institute,"Hartley Grove, Urrbrae SA 5064, Australia"
"The Australian Wine Research Institute, Hartley Grove, Urrbrae, Adelaide, SA 5064, Australia alicebarker44@gmailcom",The Australian Wine Research Institute,"Hartley Grove, Urrbrae SA 5064, Australia"
"Department of Food Science and Technology, Oregon State University, 232B Wiegand Hall, Corvallis, OR 97331, USA christophercurtin@oregonstateedu",Oregon State University,"100 Wiegand Hall, 3051 SW Campus Way, Corvallis, OR 97331, USA"
"Carl R Woese Institute for Genomic Biology, University of Illinois at Urbana-Champaign, Urbana, IL, USA, 61801; Department of Food Science and Human Nutrition, University of Illinois at Urbana-Champaign, IL, 61801, USA Electronic address: srkwak84@gmailcom",University of Illinois at Urbana-Champaign,"1206 W Gregory Dr, Urbana, IL 61801, USA"
"Beckman Institute for Advanced Science & Technology, University of Illinois at Urbana-Champaign, IL, 61801, USA Electronic address: sjrobin@illinoisedu",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
"Carl R Woese Institute for Genomic Biology, University of Illinois at Urbana-Champaign, Urbana, IL, USA, 61801; Department of Food Science and Human Nutrition, University of Illinois at Urbana-Champaign, IL, 61801, USA Electronic address: jlee762@illinoisedu",University of Illinois at Urbana-Champaign,"1206 W Gregory Dr, Urbana, IL 61801, USA"
"Carl R Woese Institute for Genomic Biology, University of Illinois at Urbana-Champaign, Urbana, IL, USA, 61801 Electronic address: hlim34@illinoisedu",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
"Beckman Institute for Advanced Science & Technology, University of Illinois at Urbana-Champaign, IL, 61801, USA Electronic address: ctopha2@illinoisedu",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
"Carl R Woese Institute for Genomic Biology, University of Illinois at Urbana-Champaign, Urbana, IL, USA, 61801; Department of Food Science and Human Nutrition, University of Illinois at Urbana-Champaign, IL, 61801, USA Electronic address: ysjin@illinoisedu",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
"Viticulture and Enology Research Center , California State University , 2360 East Barstow Avenue , Fresno , California 93740 , United States",California State University ,"2703 E Barstow Ave M/S JC 133, Fresno, CA 93740, USA"
"Department of Nutritional and Food Sciences, Chair of Molecular Food Technology , University of Bonn , Bonn , Germany",University of Bonn ,"Allgemeines Verfügungszentrum I, Endenicher Allee 11-13/1.037, 53115 Bonn, Germany"
"Viticulture and Enology Program, Wine Science Center , Washington State University , Richland , Washington 99354 , United States",Washington State University ,"University Dr, Richland, WA 99354, USA"
"Ohio State University, Columbus, OH, 43210, USA Electronic address: ray550@osuedu",Ohio State University,"Northwood-High Bldg, 2231 N High St #200, Columbus, OH 43201, USA"
"Ohio State University, Columbus, OH, 43210, USA Electronic address: rappleye1@osuedu",Ohio State University,"Northwood-High Bldg, 2231 N High St #200, Columbus, OH 43201, USA"
"Department of Chemistry, Wayne State University 5101 Cass Avenue, Detroit, Michigan 48202, United States",Wayne State University 5101 Cass Avenue,"5101 Cass Ave, Detroit, MI 48202, USA"
"Renewable Product Technology Research Unit, National Center for Agricultural Utilization Research, USDA, 1815 N, University Street, Peoria, IL 61604, USA",University Street,"1815 N University St, Peoria, IL 61604, USA"
"Plant Polymer Research Unit, National Center for Agricultural Utilization Research, USDA, 1815 N University Street, Peoria, IL 61604, USA",1815 N. University Street,"1815 N University St, Peoria, IL 61604, USA"
"Mycotoxin Prevention and Applied Microbiology Research Unit, National Center for Agricultural Utilization Research, USDA, 1815 N University Street, Peoria, IL 61604, USA",1815 N. University Street,"1815 N University St, Peoria, IL 61604, USA"
"USDA, Agricultural Research Service, National Center of Agricultural Utilization Research, Renewable Product Technology Research Unit, 1815 N University Street, Peoria, IL 61604, United States of America",1815 N. University Street,"1815 N University St, Peoria, IL 61604, USA"
"Mycotoxin Prevention and Applied Microbiology Research, 1815 N University Street, Peoria, IL 61604, United States of America",1815 N. University Street,"1815 N University St, Peoria, IL 61604, USA"
"Department of Pathology and Laboratory Medicine, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA",Perelman School of Medicine at the University of Pennsylvania,"3400 Spruce St, Philadelphia, PA 19104, USA"
"Penn Frontotemporal Degeneration Center, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA",Perelman School of Medicine at the University of Pennsylvania,"South Pavilion, 3400 Civic Center Blvd 2nd Floor, Philadelphia, PA 19104, USA"
"Penn Digital Neuropathology Laboratory, Department of Neurology, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA",Perelman School of Medicine at the University of Pennsylvania,"South Pavilion, 3400 Civic Center Blvd 2nd Floor, Philadelphia, PA 19104, USA"
"Translational Neuropathology Research Laboratory, Department of Pathology and Laboratory Medicine, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA",Perelman School of Medicine at the University of Pennsylvania,"204 N Broad St, Philadelphia, PA 19102, USA"
"Department of Molecular Genetics, University of Toronto, Toronto, ON M5G 1M1, Canada",University of Toronto,"Medical Science Building, 1 King's College Cir Room 4386, Toronto, ON M5S 1A8, Canada"
"Pfizer Inc, San Diego, CA 92121, USA",Unparsed,"10555 Science Center Dr, San Diego, CA 92121, USA"
"Hearts Consulting Group, LLC, Poway, CA 92064, USA",Unparsed,"13332 Via Stephen, Poway, CA 92064, USA"
"Department of Entomology and Nematology, University of Florida, PO Box 110620, Gainesville, Florida 32611, USA",University of Florida,"925 NW 56th Terrace A, Gainesville, FL 32605, USA"
"Department of Entomology and Nematology, University of Florida, PO Box 110620, Gainesville, Florida 32611, USA Electronic address: bbonning@ufledu",University of Florida,"925 NW 56th Terrace A, Gainesville, FL 32605, USA"
"Department of Systems Life Sciences, Kyushu University Graduate School, Fukuoka 819-0395, Japan",Kyushu University Graduate School,"744 Motooka, Nishi Ward, Fukuoka, 819-0395, Japan"
"Department of Cell Biology, Johns Hopkins University School of Medicine, 725 N Wolfe Street, 113 Hunterian, Baltimore, MD 21205, USA",Johns Hopkins University School of Medicine,"Church Professional Office Building, 98 N Broadway #300, Baltimore, MD 21231, USA"
"Department of Physiology, Tokyo Women's Medical University School of Medicine, Tokyo 162-8666, Japan",Tokyo Women's Medical University School of Medicine,"8-1 Kawadachō, Shinjuku City, Tokyo 162-8666, Japan"
"Department of Biology, Kyushu University, Fukuoka 819-0395, Japan",Kyushu University,"3-chōme-1-1 Maidashi, Higashi Ward, Fukuoka, 812-8582, Japan"
"Department of Medical Biochemistry, Kurume University School of Medicine, 67 Asahi-machi, Kurume, Fukuoka 830-0011, Japan",Kurume University School of Medicine,"155-1 Kokubumachi, Kurume, Fukuoka 839-0863, Japan"
"Department of Pharmacology, Tulane University School of Medicine, New Orleans, LA, USA",Tulane University School of Medicine,"131 S. Robertson Building, 131 S Robertson St, New Orleans, LA 70112, USA"
"Department of Pathology, Tulane University School of Medicine, New Orleans, LA, USA",Tulane University School of Medicine,"1430 Tulane Ave, New Orleans, LA 70112, USA"
"Tulane Brain Institute, Tulane University, New Orleans, LA, USA",Tulane University,"1415 Tulane Ave Suite 501, New Orleans, LA 70112, USA"
"Cardiovascular Research Institute, University of California, San Francisco, CA 94158",University of California,"555 Mission Bay Boulevard South, San Francisco, CA 94158, USA"
"Department of Physics and Center for Theoretical Biological Physics, Northeastern University, Boston, MA 02115",Northeastern University,"Dana Research Center, 100 Forsyth St #111, Boston, MA 02115, USA"
"Cellular Organization and Signalling, National Centre for Biological Sciences, Tata Institute of Fundamental Research, Bangalore 560065, India",Tata Institute of Fundamental Research,"Dr Homi Bhabha Road, Navy Nagar, Colaba, TIFR, Old Navy Nagar, Colaba, Mumbai, Maharashtra 400005, India"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Division of Immunology, Boston, MA, USA; Department of Translational Medical Sciences, University of Naples Federico II, Naples, Italy",University of Naples Federico II,"C.so Umberto I, 40, 80138 Napoli NA, Italy"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Division of Immunology, Boston, MA, USA",Harvard Medical School,"300 Longwood Ave Fegan 6, Boston, MA 02115, USA"
"Harvard Medical School, Boston, MA, USA; Howard Hughes Medical Institute, Division of Genetics, Brigham and Women's Hospital, Program in Virology, Boston, MA, USA",USA; Howard Hughes Medical Institute,"4000 Jones Bridge Rd, Chevy Chase, MD 20815, USA"
"Institute for Quantitative and Computational Biosciences, University of California, Los Angeles, Los Angeles, CA, USA",University of California,"621 Charles E Young Dr S, Los Angeles, CA 90024, USA"
"Harvard Medical School, Boston, MA, USA; Program in Cellular and Molecular Medicine, Boston Children's Hospital, Boston, MA, USA",Harvard Medical School,"Copyright © 2020 Breault Lab - Boston Children's Hospital, Center for Life Science Boston, 16026 3 Blackfan St, Boston, MA 02115, USA"
"University of Maryland School of Medicine, Department of Microbiology and Immunology, Baltimore, MD, USA",University of Maryland School of Medicine,"615 N Wolfe St, Baltimore, MD 21205, USA"
"Harvard Medical School, Boston, MA, USA; Brigham and Women's Hospital, Division of Allergy and Clinical Immunology, Boston, MA, USA",Harvard Medical School,"850 Boylston St # 540, Chestnut Hill, MA 02467, USA"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Division of Immunology, Boston, MA, USA; Department of Biotechnology and Biosciences, University of Milano-Bicocca, Milan, Italy",University of Milano-Bicocca,"Piazza dell'Ateneo Nuovo, 1, 20126 Milano MI, Italy"
"Department of Biotechnology and Biosciences, University of Milano-Bicocca, Milan, Italy",University of Milano-Bicocca,"Piazza dell'Ateneo Nuovo, 1, 20126 Milano MI, Italy"
"Center for Animal Disease Models, Research Institute for Biomedical Sciences, Tokyo University of Science, Tokyo, Japan",Tokyo University of Science,"4-chōme-6-1 Shirokanedai, Minato City, Tokyo 108-0071, Japan"
"Department of Otolaryngology-Head and Neck Surgery, Department of Cell, Developmental & Cancer Biology, Knight Cancer Institute, Oregon Health & Science University, Portland, OR, USA",Oregon Health & Science University,"OHSU Physicians Pavilion, 3270 SW Pavilion Loop Suite 250, Portland, OR 97239, USA"
"Department of Biomedical Sciences, Quillen College of Medicine, Center of Excellence in Inflammation, Infectious Disease and Immunity, East Tennessee State University, Johnson City, TN, USA",East Tennessee State University,"615 N State of Franklin Rd, Johnson City, TN 37604, USA"
"Department of Surgery, Quillen College of Medicine, Center of Excellence in Inflammation, Infectious Disease and Immunity, East Tennessee State University, Johnson City, TN, USA",East Tennessee State University,"615 N State of Franklin Rd, Johnson City, TN 37604, USA"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Precision Vaccines Program, Boston, MA, USA",Harvard Medical School,"55 Heath St, Boston, MA 02130, USA"
"Boston Children's Hospital, Precision Vaccines Program, Boston, MA, USA",Unparsed,"Boston Children's Hospital, 300 Longwood Ave, Boston, MA 02115, USA"
"Harvard Medical School, Boston, MA, USA; Dana-Farber Cancer Institute, Department of Cancer Biology, Boston, MA, USA",USA; Dana-Farber Cancer Institute,"450 Brookline Ave, Boston, MA 02215, USA"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Precision Vaccines Program, Boston, MA, USA; Broad Institute of MIT & Harvard, Cambridge, MA, USA",USA; Broad Institute of MIT & Harvard,"Merkin Building, 415 Main St, Cambridge, MA 02142, USA"
"Massachusetts Institute of Technology, Department of Biological Engineering and Department of Materials Science and Engineering, Koch Institute for Integrative Cancer Research, Ragon Institute of MGH, MIT and Harvard, Cambridge, MA, USA; Howard Hughes Medical Institute, Chevy Chase, MD, USA",Massachusetts Institute of Technology,"77 Massachusetts Ave, Cambridge, MA 02139, USA"
"Harvard Medical School, Boston, MA, USA; Boston Children's Hospital, Division of Immunology, Boston, MA, USA; Boston Children's Hospital, Division of Gastroenterology, Boston, MA, USA Electronic address: ivanzanoni@childrensharvardedu",Harvard Medical School,"55 Heath St, Boston, MA 02130, USA"
"Department of Genetics, University of Georgia, Athens, Georgia, USA",University of Georgia,"120 W Green St, Athens, GA 30602, USA"
"Department of Microbiology, University of Georgia, Athens, Georgia, USA",University of Georgia,"Biological Sciences Building, 527 Biological Sciences Bldg, Athens, GA 30602, USA"
"Department of Genetics, University of Georgia, Athens, Georgia, USA meagher@ugaedu",University of Georgia,"120 W Green St, Athens, GA 30602, USA"
"Department of Medicine, University of Alabama at Birmingham, Birmingham, AL, United States",University of Alabama at Birmingham,"510 20th St S, Birmingham, AL 35294, USA"
"Department of Nephrology, Dialysis, Transplantation, CHU de Saint-Etienne, GIMAP, EA3064, Université Jean Monnet, COMUE Université de Lyon, Rhône-Alpes, France",Université Jean Monnet,"2 Rue Tréfilerie, 42100 Saint-Étienne, France"
"Department of Immunology, Faculty of Medicine and Dentistry, Palacky University and University Hospital, Olomouc, Czechia",Palacky University and University Hospital,"775 15, Hněvotínská 976/3, Nová Ulice, 779 00 Olomouc-Olomouc 9, Czechia"
"Department of Microbiology, University of Alabama at Birmingham, Birmingham, AL, United States",University of Alabama at Birmingham,"1665 University Blvd #327, Birmingham, AL 35294, USA"
"Department of Pediatrics, University of Tennessee Health Sciences Center, Memphis, TN, United States",University of Tennessee Health Sciences Center,"50 N Dunlap St # 4624, Memphis, TN 38103, USA"
"Division of Nephrology, Department of Medicine, Stanford University, Stanford, California, USA",Stanford University,"300 Pasteur Dr Suite A175, Palo Alto, CA 94305, USA"
"Division of Nephrology, The Ohio State University Wexner Medical Center, Columbus, Ohio, USA",The Ohio State University Wexner Medical Center,"456 W 10th Ave, Columbus, OH 43210, USA"
"Department of Medicine, University of Toronto, Toronto, Ontario, Canada",University of Toronto,"500 University Ave, Toronto, ON M5G 1V7, Canada"
"NephroNet Clinical Research Consortium, Atlanta, Georgia, USA",Unparsed,"1936 Lenox Rd NE, Atlanta, GA 30306, USA"
"Department of Nephrology and Clinical Immunology, RWTH Aachen University Hospital, Aachen, Germany",RWTH Aachen University Hospital,"Pauwelsstraße 30, 52074 Aachen, Germany"
"Department of Infection, Immunity and Inflammation, University of Leicester, Leicester, UK",University of Leicester,"Leicester LE1 7RH, UK"
"Institut für Hygiene und Mikrobiologie, Julius-Maximilians-Universität Würzburg, Würzburg, Germany",Julius-Maximilians-Universität Würzburg,"Josef-Schneider-Straße 2, 97080 Würzburg, Germany"
"Division of Infectious Diseases and Global Public Health, University of California San Diego, San Diego, USA",University of California San Diego,"4168 Front St, San Diego, CA 92103, USA"
"Max von Pettenkofer-Institut für Hygiene und Medizinische Mikrobiologie, Medizinische Fakultät, LMU München, Munich, Germany",Max von Pettenkofer-Institut für Hygiene und Medizinische Mikrobiologie,"Pettenkoferstraße 9A, 80336 München, Germany"
"Department of Clinical Microbiology, School of Medicine, Trinity College Dublin, The University of Dublin, St James's Hospital Campus, Dublin, Ireland",The University of Dublin,"Moyne Institute, Trinity College, Dublin, 2, Ireland"
"Diagnostic and Research Institute of Hygiene, Microbiology and Environmental Medicine, Medical University of Graz, Graz, Austria",Medical University of Graz,"Neue Stiftingtalstraße 6, 8010 Graz, Austria"
"Department of Biology, Stanford University, Stanford, CA, USA",Stanford University,"279 Campus Drive, Stanford, CA 94305, USA"
"Department of Genetics, Stanford University, Stanford, CA, USA jfrydman@stanfordedu",Stanford University,"450 Jane Stanford Way, Stanford, CA 94305, USA"
"S Arthur Localio Laboratory, Department of Surgery, New York University School of Medicine, New York, NY, USA",New York University School of Medicine,"160 E 34th St #3, New York, NY 10016, USA"
"Department of Basic Science and Craniofacial Biology, New York University College of Dentistry, New York, NY, USA",New York University College of Dentistry,"345 E 24th St, New York, NY 10010, USA"
"Department of Medicine, New York University School of Medicine, New York, NY, USA",New York University School of Medicine,"462 1st Ave. # 6, New York, NY 10016, USA"
"Biology and Biochemistry Programs, Graduate Center CUNY, New York, NY, USA",Unparsed,"365 5th Ave, New York, NY 10016, USA"
"Department of Basic Science and Craniofacial Biology, New York University College of Dentistry, New York, NY, USA ds100@nyuedu",New York University College of Dentistry,"112 E W 11th St, New York, NY 10003, USA"
"Department of Cell Biology, New York University School of Medicine, New York, NY, USA georgemiller@nyumcorg",New York University School of Medicine,"145 E 32nd St, New York, NY 10016, USA"
"Department of Chemistry , University of Michigan , 930 N University Avenue , Ann Arbor , Michigan 48109 , United States",University of Michigan ,"Willard H Dow Chemistry and Laboratory, 930 N University Ave, Ann Arbor, MI 48109, USA"
"Mass Spectrometry Consortium for Epitranscriptomics , University at Albany , 1400 Washington Avenue , Albany , New York 12222 , United States",University at Albany ,"ETEC, 1220 Washington Ave Room 394, Albany, NY 12226, USA"
"Broad Institute of MIT and Harvard, Cambridge, MA, USA edv@mitedu",Broad Institute of MIT and Harvard,"Merkin Building, 415 Main St, Cambridge, MA 02142, USA"
"Klarman Cell Observatory, Broad Institute of MIT and Harvard, Cambridge, MA, USA carldeboer@ubcca",Broad Institute of MIT and Harvard,"Merkin Building, 415 Main St, Cambridge, MA 02142, USA"
"The Rachel and Selim Benin School of Computer Science and Engineering, The Hebrew University of Jerusalem, Jerusalem, Israel",The Hebrew University of Jerusalem,"Jerusalem, Israel"
"Broad Institute of MIT and Harvard, Cambridge, MA, USA",Broad Institute of MIT and Harvard,"Merkin Building, 415 Main St, Cambridge, MA 02142, USA"
"Stanley Center for Psychiatric Research, Broad Institute of MIT and Harvard, Cambridge, MA, USA",Broad Institute of MIT and Harvard,"Stanley Building, 75 Ames St, Cambridge, MA 02142, USA"
"Genentech, South San Francisco, CA, USA avivregevsc@gmailcom",Unparsed,"1 DNA Way, South San Francisco, CA 94080, USA"
"California Institute of Quantitative Biosciences (QB3), University of California, Berkeley, CA, USA",University of California,"401 E Peltason Dr Suite 1000, Irvine, CA 92697, USA"
"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland",Unparsed,"Schanzenstrasse 44, 4056 Basel, Switzerland"
"Demetrix, Inc, Emeryville, CA, USA",Unparsed,"2929 Seventh St Suite 130, Berkeley, CA 94710, USA"
"Berkeley Brewing Science, Inc, Berkeley, CA, USA",Unparsed,"2451 Peralta St, Oakland, CA 94607, USA"
"Genomatica, Inc, San Diego, CA, USA",Unparsed,"4757 Nexus Center Dr, San Diego, CA 92121, USA"
"Key Laboratory of Industrial Biotechnology, Ministry of Education, Jiangnan University, Wuxi, China",Jiangnan University,"F7P9+FRP, Hui Shan Lu, Bin Hu Qu, Wu Xi Shi, Jiang Su Sheng, China, 214082"
"Biological Systems and Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA",Lawrence Berkeley National Laboratory,"Calvin Rd, Berkeley, CA 94705, USA"
"Department of Chemistry, University of California, Berkeley, CA, USA",University of California,"Latimer Hall, University of California, #419, Berkeley, CA 94720, USA"
"Department of Bioengineering, University of California, Berkeley, CA, USA",University of California,"Stanley Hall, 306 University of California, Berkeley, CA 94720, USA"
"Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA, USA",University of California,"Berkeley, CA 94720, USA"
"Biotechnology and Bioengineering Department, Sandia National Laboratories, Livermore, CA, USA",Unparsed,"7011 East Ave, Livermore, CA 94550, USA"
"Center for Synthetic Biochemistry, Institute of Synthetic Biology, Shenzhen Institutes of Advanced Technologies, Shenzhen, China keasling@berkeleyedu",Institute of Synthetic Biology,"58 An Hua Lu, Long Gang Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518115"
"Department of Biotechnology, Maharishi Dayanand University, Rohtak, Haryana-124001, India",Maharishi Dayanand University,"Maharshi Dayanand University, VJHG+R5Q, Maharshi Dayanand University, Rohtak, Haryana 124001, India"
"Department of Chemistry and Environmental Science, Medgar Evers College, The City University of New York, 1638 Bedford Avenue, Brooklyn, NY 11225, United States",The City University of New York,"160 Convent Ave, New York, NY 10031, USA"
"The Jill Roberts Institute for Research in Inflammatory Bowel Disease, Weill Cornell Medicine, Cornell University, New York, NY, USA",Cornell University,"1283 York Ave 9th Floor, New York, NY 10065, USA"
